shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427490414924","camara-digital-fujifilm-instax-pal-rosa","ACTIVE","16812558","Cámara Digital - Fujifilm Instax Pal, Rosa"
"gid://shopify/Product/15427490971980","auriculares-diadema-jbl-tune-500-con-cablos-blancos","ACTIVE","1763379","Auriculares Diadema - JBL TUNE 500, con Cablos, Blancos"
"gid://shopify/Product/15427492184396","movil-nokia-2660-flip-4g-rosa-28-128-gb","ACTIVE","1GF011NPC1A04","Móvil - NOKIA 2660 Flip, 4G, Rosa, 2.8"", 128 GB"
"gid://shopify/Product/15427492413772","aspirador-con-cable-rowenta-ro2933ea-sin-bolsa12l-750w","ACTIVE","1RO2933EA","Aspirador con Cable - ROWENTA RO2933EA, Sin Bolsa,1,2L, 750W"
"gid://shopify/Product/15427493265740","campana-telescopica-cata-tfh-6830-gwh-60cm-64-db-cristal-blanco","ACTIVE","2010101","Campana Telescópica -  Cata TFH 6830 GWH , 60cm, 64 dB, Cristal Blanco"
"gid://shopify/Product/15427493298508","cortapelos-wahl-20102-0460-home-pro-3000-hair-clip-230-w-accesorios","ACTIVE","20102-0460","Cortapelos - WAHL 20102-0460 Home Pro 3000 Hair Clip, 230 W, Accesorios"
"gid://shopify/Product/15427496083788","campana-esquina-cata-gala-900-l-90cm-67-db-izquierda-inox","ACTIVE","2169304","Campana Esquina - Cata Gala 900 L, 90cm, 67 dB, Izquierda, Inox"
"gid://shopify/Product/15427497427276","cocotte-baja-berghoff-37l-28cm-hierro-fundido","ACTIVE","2307354","Cocotte Baja - Berghoff 3,7L 28cm Hierro Fundido"
"gid://shopify/Product/15427498213708","auriculares-inalambricos-motorola-earbuds-hk126-bluetooth-50-negro","ACTIVE","253HK126","Auriculares Inalámbricos - MOTOROLA Earbuds HK126, Bluetooth 5.0, Negro"
"gid://shopify/Product/15427498246476","auriculares-inalambricos-motorola-sp106-sport-negro-bluetooth","ACTIVE","253SP106","Auriculares Inalámbricos - MOTOROLA SP106 Sport, Negro, Bluetooth"
"gid://shopify/Product/15427499524428","lavadora-libre-instalacion-balay-3ts997bp-blanco-9-kg-1200-rpm-eficiencia-a","ACTIVE","3TS997BP","Lavadora Libre Instalación - Balay 3TS997BP, Blanco, 9 kg, 1200 rpm, Eficiencia A"
"gid://shopify/Product/15427500474700","estimulador-satisfyer-curvy-2-rosa","ACTIVE","4001852","Estimulador - Satisfyer Curvy 2+ Rosa"
"gid://shopify/Product/15427500704076","tv-qled-hisense-40a5q-40-full-hd-hdr10","ACTIVE","40A5Q","TV QLED - HISENSE 40A5Q, 40"", Full HD, HDR10"
"gid://shopify/Product/15427501031756","secador-de-pelo-cecotec-bamba-ionicare-6000-rockstar-essence","ACTIVE","4234","Secador de Pelo  - Cecotec  Bamba IoniCare 6000 RockStar Essence"
"gid://shopify/Product/15427503259980","auriculares-inalambricos-sennheiser-cx-blanco-autonomia-de-hasta-27-horas","ACTIVE","508974","Auriculares Inalámbricos - SENNHEISER, CX,  Blanco, Autonomía de hasta 27 horas"
"gid://shopify/Product/15427503915340","auriculares-inalambricos-jbl-tune-525bt-azul","ACTIVE","525BT","Auriculares Inalámbricos - JBL TUNE 525BT, Azul"
"gid://shopify/Product/15427504734540","tv-miniled-lg-55qned866re-55-pulgadas-uhd-4k-procesador-inteligente-7-4k-gen6-dolby-atmos-negro","ACTIVE","55QNED866RE","TV MiniLed - LG 55QNED866RE, 55 pulgadas, UHD 4K, Procesador Inteligente α7 4K Gen6, Dolby Atmos, Negro"
"gid://shopify/Product/15427504898380","tv-uled-hisense-55u6nq-55-4k-uhd-smart-tv-hdr","ACTIVE","55U6NQ","TV ULED - HISENSE 55U6NQ, 55"", 4K UHD, Smart TV, HDR"
"gid://shopify/Product/15427507421516","calefactor-horizontal-orbegozo-fh53-blanco","ACTIVE","5FH5030","Calefactor Horizontal - Orbegozo FH5030 Blanco"
"gid://shopify/Product/15427507716428","calefactor-ceramico-orbegozo-fhr24-profesional","ACTIVE","5FHR2040","Calefactor Cerámico - Orbegozo FHR2040 Profesional"
"gid://shopify/Product/15427507978572","estufa-gas-orbegozo-hbf95-llama-azul","ACTIVE","5HBF95","Estufa Gas - Orbegozo HBF95 Llama Azul"
"gid://shopify/Product/15427508175180","olla-programable-orbegozo-hpe675","ACTIVE","5HPE6075","Olla Programable - Orbegozo HPE6075"
"gid://shopify/Product/15427519250764","bascula-cocina-orbegozo-pc55-inox","ACTIVE","5PC5500","Báscula Cocina - Orbegozo PC5500 Inox"
"gid://shopify/Product/15427521315148","termo-orbegozo-trm54-5-litros-vertical","ACTIVE","5TRM54","Termo - Orbegozo TRM54, 50 Litros, Vertical"
"gid://shopify/Product/15427521806668","secador-de-pelo-ufesa-x-treme-boost","ACTIVE","60305373","Secador de Pelo  - Ufesa X-Treme Boost"
"gid://shopify/Product/15427534258508","tv-miniled-tcl-65c7k-premium-65-4k-uhd-google-tv-bang-olufsen","ACTIVE","65C7K","TV MiniLED - TCL 65C7K Premium, 65"", 4K UHD, Google TV, Bang & Olufsen"
"gid://shopify/Product/15427548709196","tv-miniled-lg-65qned87a6b-65-4k-evo-ia-gen2-a8","ACTIVE","65QNED87A6B","TV MiniLED - LG 65QNED87A6B, 65"", 4K, EVO, IA, Gen2 a8"
"gid://shopify/Product/15427551166796","tv-miniled-lg-65qned93a6a-4k-evo-ia-gen2-a8","ACTIVE","65QNED93A6A","TV MiniLED - LG 65QNED93A6A, 4K, EVO IA, Gen2 a8"
"gid://shopify/Product/15427551658316","monitor-pc-lenovo-d27-40-27-75-hz-full-hd","ACTIVE","67A3KAC6EU","Monitor PC - Lenovo D27-40, 27"", 75 Hz, Full HD"
"gid://shopify/Product/15427551887692","auriculares-inalambricos-jbl-tune-125bt-blancos-120-mah-usb-c","ACTIVE","6925281979668","Auriculares Inalámbricos - JBL TUNE 125BT, Blancos, 120 mAh, USB-C"
"gid://shopify/Product/15427551953228","radio-despertador-portatil-sangean-dt-800-bateria","ACTIVE","001300","Radio Despertador Portátil - Sangean DT-800, Batería"
"gid://shopify/Product/15427551985996","soporte-tv-hama-00220809-fijo-de-32-a-65","ACTIVE","00220809","Soporte TV - HAMA 00220809, Fijo, de 32"" a 65"""
"gid://shopify/Product/15427552018764","soporte-de-pared-tv-hama-00220824-de-32-a-65-giro-180","ACTIVE","00220824","Soporte de Pared TV - HAMA 00220824, de 32"" a 65"", Giro 180º"
"gid://shopify/Product/15427552117068","smartwatch-garmin-2-black-grey-42mm","ACTIVE","010-02247-10","Smartwatch - Garmin 2 Black Grey, 42mm"
"gid://shopify/Product/15427552641356","smartwatch-garmin-forerunner-255-slate-gray","ACTIVE","010-02641-10","Smartwatch - Garmin  Forerunner 255, Slate Gray"
"gid://shopify/Product/15427552674124","smartwatch-garmin-forerunner-255-dark-blue","ACTIVE","010-02641-11","Smartwatch - Garmin  Forerunner 255, Dark Blue"
"gid://shopify/Product/15427553100108","sensor-actividad-garmin-running-dynamics-pod-resistente-al-agua","ACTIVE","010-12520-00","Sensor Actividad - GARMIN Running Dynamics Pod, Resistente al Agua"
"gid://shopify/Product/15427553132876","tocadiscos-lauson-01tt17-rojo-bluetooth","ACTIVE","01TT17","Tocadiscos - LAUSON 01TT17, Rojo, Bluetooth"
"gid://shopify/Product/15427553231180","videoconsola-nintendo-switch-oled-color-blanco-nvidia-custom-tegra","ACTIVE","10007454","Videoconsola - NINTENDO Switch OLED, Color Blanco, NVIDIA Custom Tegra"
"gid://shopify/Product/15427553526092","smartwatch-garmin-2s-rosegold-white-40mm","ACTIVE","100242913","Smartwatch - Garmin  2S Rosegold White, 40mm"
"gid://shopify/Product/15427553624396","smartwatch-garmin-7-pro-solar-edition-black-47mm","ACTIVE","100277701","Smartwatch - Garmin 7 Pro Solar Edition, Black, 47mm"
"gid://shopify/Product/15427553722700","smartwatch-garmin-epix-pro-gen-2-standard-white-42-mm","ACTIVE","100280201","Smartwatch  - Garmin Epix Pro (Gen 2) Standard, White, 42 mm"
"gid://shopify/Product/15427554181452","monitor-frecuencia-cardiaca-garmin-hrm-pro-plus","ACTIVE","101311800","Monitor frecuencia cardíaca - Garmin Hrm-Pro Plus"
"gid://shopify/Product/15427554378060","telefonos-inalambricos-motorola-s1203-maxicolor-trio","ACTIVE","1071203MIXCOLOR","Teléfonos Inalámbricos - MOTOROLA S1203 MaxiColor, Trio,"
"gid://shopify/Product/15427554410828","telefono-inalambrico-motorola-c1001cb-blanco","ACTIVE","107C1001CBW","Teléfono Inalámbrico - MOTOROLA C1001CB+, Blanco"
"gid://shopify/Product/15427554541900","telefono-inalambrico-motorola-e203-negro-50-contactos","ACTIVE","107E203","Teléfono Inalámbrico - MOTOROLA E203, Negro, 50 contactos"
"gid://shopify/Product/15427555000652","molinillo-de-cafe-nevir-nvr116cg","ACTIVE","10NVR1106CG","Molinillo de Café - Nevir NVR1106CG"
"gid://shopify/Product/15427560472908","frontal-cajon-teka-kit-vscp-blanco","ACTIVE","111890003","Frontal Cajón - Teka Kit VS/CP, Blanco"
"gid://shopify/Product/15427560505676","frontal-cajon-teka-kit-vscp-gris-piedra","ACTIVE","111890004","Frontal Cajón - Teka Kit VS/CP, Gris Piedra"
"gid://shopify/Product/15427561685324","microondas-teka-mwe-fs20-g-inox-20l","ACTIVE","112270004","Microondas - TEKA MWE FS20 G, Inox, 20L"
"gid://shopify/Product/15427561783628","placa-induccion-teka-izc-63632-wh-mst-blanco-3-zonas","ACTIVE","112500016","Placa Inducción - Teka IZC 63632 WH MST, Blanco, 3 zonas"
"gid://shopify/Product/15427566633292","campana-decorativa-teka-dsh-686-60cm-68-db-735-m3h-inox","ACTIVE","112970004","Campana Decorativa - Teka DSH 686, 60cm, 68 dB, 735 m3/h, Inox"
"gid://shopify/Product/15427568304460","conservador-libre-instalacion-teka-rsl-10130-ciclico-0845-metros-blanco","ACTIVE","113320004","Conservador Libre Instalación -Teka RSL 10130, Cíclico, 0,845 metros, Blanco"
